timestep,a_x,a_y,a_z,a_mag,g_x,g_y,g_z,g_mag
318,-25528,-12544,27616,39644.34607860243,-3344,13023,-1337,13511.788704683033
319,-8092,-9074,17626,21412.46870400515,-2022,12773,-3345,13357.658402579396
320,-16466,2664,8898,18905.037847092506,-1713,12442,-2527,12811.06794923827
321,-14546,4816,12576,19822.60699302693,-1003,10315,-768,10392.067070607272
322,-27820,1180,19038,33731.14649696924,-2899,8720,-1515,9313.314447606715
323,-12652,-3770,8994,15974.29309860064,-2791,5348,-1077,6127.863738693935
324,-12350,-5448,6590,15021.028726422168,-1367,3581,-878,3932.319163038525
325,-6514,3826,8514,11382.384108788458,-1988,2651,-1348,3577.296325439088
326,-8576,-2280,9072,12690.443648667293,-2009,1188,-1446,2745.603940847988
327,-6054,2532,7776,10174.87670686972,-1582,249,-1096,1940.6032567219918
328,-5360,1830,6394,8541.764220581132,-1544,379,-790,1775.2963132953325
329,-3968,1206,7510,8579.018591890333,-863,24,-669,1092.20236220217
330,-3456,864,7916,8680.638686179722,-688,-2,-512,857.6083021986203
331,-4654,50,7582,8896.569001587073,-186,242,-321,442.9458206146662
332,-4168,670,7576,8672.767724319612,193,295,-64,358.28759398003166
333,-3728,-40,7454,8334.36860235975,543,500,174,758.3699624853294
334,-3750,560,7624,8514.779856226467,734,597,320,998.7817579431454
335,-2572,-594,7828,8261.089758621438,1007,584,769,1395.1580555621647
336,-4806,242,8310,9602.723571987271,1536,971,826,1996.0994464204432
337,-3178,1340,6102,7009.2573073043895,1460,1034,888,1997.3232086970802
338,-3788,1190,7562,8541.01211801037,1476,943,746,1903.7702067213888
339,-3982,2116,6124,7605.074358610835,1279,1043,558,1742.140637262101
340,-4260,1096,6960,8233.493547698936,1227,968,506,1642.738262779558
341,-4344,1658,6684,8142.1837365660085,1137,812,489,1480.2817299419726
342,-4064,1240,6690,7925.263150205172,1064,752,412,1366.5079582644225
343,-3826,1512,6432,7635.119121533075,834,640,386,1119.8892802415783
344,-4544,1608,6356,7976.987902711147,734,620,387,1035.8209304701272
345,-4242,1348,6592,7954.00100578319,698,565,313,950.9984227116257
346,-4298,1208,6014,7490.010947922573,665,736,257,1024.6804379903033
347,-4380,1736,6694,8185.825065318706,588,599,230,870.3131620284735
348,-3362,1804,9242,9998.601102154242,440,502,243,710.3893298748228
349,-3250,1328,7302,8102.177978790642,546,504,106,750.5784436019995
350,-4122,2510,5550,7354.827258338567,107,714,53,723.915740953324
351,-3586,1736,5774,7015.138487585259,-92,515,-244,577.2564421468157
352,-3594,2452,5510,7020.62960139616,-341,645,-408,835.9246377515142
353,-3934,1748,6114,7477.489953186163,-467,582,-652,990.9172518429581
354,-3344,2888,5084,6735.720896830569,-745,737,-714,1268.0654557237967
355,-4268,1948,6194,7770.210035771234,-980,764,-1049,1626.1909481976584
356,-3672,1664,6374,7541.9066554817555,-1130,714,-1251,1830.764048150389
357,-4568,1552,5228,7113.8816408484045,-1246,1067,-1279,2080.1072087755483
358,-4830,1226,8072,9486.261645137141,-1159,854,-1509,2085.588166441304
359,-4454,1226,8320,9516.490529601759,-1177,968,-1294,1999.1970888334147
360,-4230,542,7588,8704.275271382448,-1132,1303,-1336,2182.6884798339865
361,-4790,452,6620,8183.691343153162,-922,1564,-1280,2221.3914558222286
362,-4650,254,6862,8293.012721562653,-556,1650,-1013,2014.399414217548
363,-4450,688,7740,8954.520869370957,-323,1778,-750,1956.5564137024007
364,-3532,1346,8454,9260.499770530749,-190,2484,-705,2589.088835864849
365,-4684,898,6630,8167.200254677243,-66,2977,-530,3024.530542084176
366,-3886,1292,7040,8144.437365466076,-13,3641,-689,3705.6404304789207
367,-4732,624,7076,8535.278320008083,152,4403,-788,4475.539855704561
368,-5234,906,8006,9607.894046043597,468,5028,-810,5114.284700718175
369,-6696,1704,6488,9478.089258917116,871,5805,-683,5909.581626477461
370,-4046,-1280,7300,8443.844858830602,872,6663,-734,6759.7861652570045
371,-5762,-376,8396,10189.937978221456,1081,7922,-475,8009.511221042144
372,-4178,-1670,7096,8402.249698741403,811,8869,-703,8933.705334294387
373,50,-3392,8262,8931.338533501012,744,10241,-730,10293.90678994132
374,-3302,938,7072,7861.057944068343,1138,12020,-757,12097.458121440222
